true,pred,pred_4,pred_8
344,340.3010559082031,339.6583251953125,341.5840759277344
161,159.2816162109375,158.66815185546875,156.2756805419922
110,105.8785400390625,105.88274383544922,105.84549713134766
145,142.9364776611328,142.94949340820312,143.7415008544922
134,127.88748931884766,127.923583984375,130.26675415039062
117,107.60102844238281,107.65978240966797,107.64346313476562
53,51.2874870300293,51.28816604614258,51.2890510559082
47,44.57686233520508,44.579586029052734,44.587425231933594
30,26.70905876159668,26.710817337036133,26.715923309326172
108,103.98773956298828,104.00652313232422,104.0752944946289
95,89.6678237915039,89.67974090576172,89.7094955444336
30,26.729337692260742,26.73441505432129,26.74968910217285
61,57.76295471191406,57.773704528808594,57.80548095703125
29,24.00897979736328,24.011940002441406,24.020761489868164
350,347.00457763671875,349.36468505859375,347.3783874511719
206,203.7165985107422,203.7644805908203,196.670166015625
234,230.9610595703125,229.3551483154297,232.51724243164062
253,247.19371032714844,249.0106964111328,245.6596221923828
97,90.61129760742188,90.70610046386719,91.01888275146484
29,26.204622268676758,26.20927619934082,26.223079681396484
144,142.2272491455078,142.2354278564453,142.83926391601562
106,104.05987548828125,104.07853698730469,103.78018188476562
109,103.8742446899414,103.92715454101562,103.91950988769531
114,111.78472900390625,111.79853057861328,111.84122467041016
173,170.41339111328125,170.41773986816406,169.96841430664062
99,94.750244140625,94.85991668701172,95.42876434326172
49,45.6910514831543,45.70720291137695,45.76067352294922
107,103.45540618896484,103.48505401611328,103.56643676757812
41,35.65076446533203,35.664398193359375,35.7053337097168
87,84.27567291259766,84.28028869628906,84.30118560791016
247,240.5966339111328,240.67930603027344,240.55686950683594
16,13.729310989379883,13.730746269226074,13.735054969787598
106,102.48106384277344,102.57691192626953,103.21373748779297
62,59.75336837768555,59.76041793823242,59.782203674316406
271,262.0290832519531,262.4962158203125,265.4989929199219
239,234.28182983398438,234.398193359375,235.2578125
159,157.45718383789062,157.54701232910156,157.21592712402344
47,41.118778228759766,41.12794494628906,41.155452728271484
102,96.44688415527344,96.47924041748047,96.5752182006836
90,88.79877471923828,88.80403137207031,88.84711456298828
171,168.76190185546875,168.77586364746094,169.73614501953125
80,73.99100494384766,74.03590393066406,74.1788558959961
33,29.659191131591797,29.66387176513672,29.6778507232666
415,407.13739013671875,404.38299560546875,427.8782958984375
108,102.71977233886719,102.77743530273438,103.03035736083984
175,173.99359130859375,169.6386260986328,172.2035369873047
122,119.94345092773438,119.96826171875,118.6491928100586
167,160.58212280273438,160.70799255371094,161.48452758789062
23,20.021162033081055,20.021780014038086,20.023761749267578
53,50.92345428466797,50.9265251159668,50.935752868652344
